# submitted_id	current_id	converted_id	current_symbol
FBgn0027518	FBgn0027518	FBgn0027518	Wdr24
FBgn0033189	FBgn0264294	FBgn0264294	Cyt-b5
FBgn0036726	FBgn0036726	FBgn0036726	QIL1
FBgn0052971	FBgn0052971	FBgn0052971	CG32971
FBgn0031971	FBgn0031971	FBgn0031971	Sirup
FBgn0034259	FBgn0034259	FBgn0034259	P32
FBgn0041111	FBgn0041111	FBgn0041111	lilli
FBgn0030291	FBgn0030291	FBgn0030291	CG1738
FBgn0033871	FBgn0033871	FBgn0033871	CG13339
FBgn0040532	FBgn0040532	FBgn0040532	CG8369
FBgn0051674	FBgn0051674	FBgn0051674	CG31674
FBgn0028509	FBgn0028509	FBgn0028509	CenG1A
FBgn0032160	FBgn0032160	FBgn0032160	CG4598
FBgn0028979	FBgn0028979	FBgn0028979	tio
FBgn0039505	FBgn0039505	FBgn0039505	CG5934
FBgn0010435	FBgn0010435	FBgn0010435	emp
FBgn0031420	FBgn0031420	FBgn0031420	Atxn7
FBgn0032506	FBgn0032506	FBgn0032506	CG9395
FBgn0039613	FBgn0039613	FBgn0039613	Nepl20
FBgn0038363	FBgn0038363	FBgn0038363	Acyp2
FBgn0034410	FBgn0267351	FBgn0267351	Topors
FBgn0035602	FBgn0260856	FBgn0260856	Membrin
FBgn0028411	FBgn0028411	FBgn0028411	Nxt1
FBgn0003169	FBgn0003169	FBgn0003169	put
FBgn0035164	FBgn0035164	FBgn0035164	CG13901
FBgn0036488	FBgn0036488	FBgn0036488	CG6878
FBgn0030055	FBgn0030055	FBgn0030055	Rubicon
FBgn0035237	FBgn0035237	FBgn0035237	CG13917
FBgn0050109	FBgn0050109	FBgn0050109	CG30109
FBgn0033891	FBgn0033891	FBgn0033891	CG8067
FBgn0037808	FBgn0266717	FBgn0266717	Bruce
FBgn0042112	FBgn0042112	FBgn0042112	mRpL36
FBgn0085284	FBgn0085284	FBgn0085284	Blos3
FBgn0025827	FBgn0025827	FBgn0025827	CG6421
FBgn0032642	FBgn0032642	FBgn0032642	CG5110
FBgn0039773	FBgn0039773	FBgn0039773	CG2224
FBgn0014092	FBgn0014092	FBgn0014092	CG4278
FBgn0029665	FBgn0029665	FBgn0029665	CG14270
FBgn0037504	FBgn0037504	FBgn0037504	CG1142
FBgn0038627	FBgn0038627	FBgn0038627	CG7694
FBgn0032685	FBgn0032685	FBgn0032685	CG10211
FBgn0031651	FBgn0031651	FBgn0031651	mRpL24
FBgn0036765	FBgn0036765	FBgn0036765	CG7408
FBgn0001087	FBgn0001087	FBgn0001087	g
FBgn0030099	FBgn0030099	FBgn0030099	CG12056
FBgn0036836	FBgn0036836	FBgn0036836	CG11619
FBgn0036887	FBgn0036887	FBgn0036887	CG9231
FBgn0038325	FBgn0038325	FBgn0038325	Atg4b
FBgn0038771	FBgn0038771	FBgn0038771	CG4390
FBgn0030808	FBgn0030808	FBgn0030808	RhoGAP15B
FBgn0040389	FBgn0040389	FBgn0040389	mRpL14
FBgn0086446	FBgn0086446	FBgn0086446	DCTN6-p27
FBgn0031115	FBgn0031115	FBgn0031115	CG11710
FBgn0038861	FBgn0038861	FBgn0038861	CG7009
FBgn0051291	FBgn0266566	FBgn0266566	CG45105
FBgn0000562	FBgn0000562	FBgn0000562	egl
FBgn0004087	FBgn0004087	FBgn0004087	Dhfr
FBgn0002543	FBgn0002543	FBgn0002543	robo2
FBgn0036395	FBgn0036395	FBgn0036395	CG17361
FBgn0053087	FBgn0053087	FBgn0053087	LRP1
FBgn0032681	FBgn0032681	FBgn0032681	CG10283
FBgn0039905	FBgn0262636	FBgn0262636	dati
FBgn0052817	FBgn0052817	FBgn0052817	CG32817
FBgn0051360	FBgn0051360	FBgn0051360	CG31360
FBgn0031836	FBgn0031836	FBgn0031836	CG11050
FBgn0035983	FBgn0035983	FBgn0035983	CG4080
FBgn0003388	FBgn0003388	FBgn0003388	shd
FBgn0039068	FBgn0039068	FBgn0039068	CG13827
FBgn0044030	FBgn0044030	FBgn0044030	mRpS14
FBgn0050106	FBgn0050106	FBgn0050106	CCHa1-R
FBgn0034893	FBgn0034893	FBgn0034893	mRpL43
FBgn0038489	FBgn0264291	FBgn0264291	Det
FBgn0026085	FBgn0026085	FBgn0026085	dgt4
FBgn0004915	FBgn0004915	FBgn0004915	TfIIB
FBgn0035497	FBgn0035497	FBgn0035497	CG14995
FBgn0036306	FBgn0036306	FBgn0036306	CG10973
FBgn0039022	FBgn0039022	FBgn0039022	Nepl13
FBgn0039316	FBgn0039316	FBgn0039316	CG11893
FBgn0041723	FBgn0041723	FBgn0041723	rho-5
FBgn0050151	FBgn0050151	FBgn0050151	CG30151
FBgn0030743	FBgn0030743	FBgn0030743	CG9921
FBgn0039530	FBgn0039530	FBgn0039530	Tusp
FBgn0032612	FBgn0032612	FBgn0032612	CG13282
FBgn0033085	FBgn0033085	FBgn0033085	CG15908
FBgn0004903	FBgn0004903	FBgn0004903	Rb97D
FBgn0025633	FBgn0025633	FBgn0025633	CG13366
FBgn0085562	FBgn0085562	FBgn0085562	CG41232
FBgn0021967	FBgn0021967	FBgn0021967	ND-PDSW
FBgn0038574	FBgn0261532	FBgn0261532	cdm
FBgn0036107	FBgn0036107	FBgn0036107	galla-2
FBgn0037733	FBgn0260463	FBgn0260463	Unc-115b
FBgn0037733	FBgn0051352	FBgn0051352	Unc-115a
FBgn0004101	FBgn0004101	FBgn0004101	bs
FBgn0016940	FBgn0261933	FBgn0261933	SmD1
FBgn0039218	FBgn0039218	FBgn0039218	Rpb10
FBgn0025839	FBgn0025839	FBgn0025839	ND-B14.5A
FBgn0037109	FBgn0037109	FBgn0037109	MED1
FBgn0036697	FBgn0036697	FBgn0036697	rogdi
FBgn0051678	FBgn0051678	FBgn0051678	CG31678
FBgn0002936	FBgn0002936	FBgn0002936	ninaA
FBgn0031059	FBgn0031059	FBgn0031059	CG14229
FBgn0087005	FBgn0087005	FBgn0087005	rtp
FBgn0030610	FBgn0030610	FBgn0030610	CG9065
FBgn0032849	FBgn0032849	FBgn0032849	mRpS18B
FBgn0039159	FBgn0039159	FBgn0039159	mRpS24
FBgn0037606	FBgn0037606	FBgn0037606	CG8032
FBgn0038437	FBgn0038437	FBgn0038437	Sdhaf3
FBgn0026324	FBgn0026324	FBgn0026324	Taf10b
FBgn0015338	FBgn0015338	FBgn0015338	CG5861
FBgn0037408	FBgn0037408	FBgn0037408	NPFR
FBgn0035964	FBgn0035964	FBgn0035964	Dhpr
FBgn0036538	FBgn0036538	FBgn0036538	CG15715
FBgn0051082	FBgn0263289	FBgn0263289	scrib
FBgn0032838	FBgn0264443	FBgn0264443	CG43861
FBgn0051229	FBgn0051229	FBgn0051229	CG31229
FBgn0029922	FBgn0029922	FBgn0029922	CG14431
FBgn0031635	FBgn0031635	FBgn0031635	tank
FBgn0034180	FBgn0034180	FBgn0034180	Ehbp1
FBgn0243516	FBgn0243516	FBgn0243516	Vrp1
FBgn0086856	FBgn0086856	FBgn0086856	CG11555
FBgn0054024	FBgn0054024	FBgn0054024	lncRNA:CR34024
FBgn0028360	FBgn0028360	FBgn0028360	Cdc7
FBgn0038426	FBgn0038426	FBgn0038426	mRpS33
FBgn0032820	FBgn0032820	FBgn0032820	fbp
FBgn0035085	FBgn0035085	FBgn0035085	CG3770
FBgn0031752	FBgn0031752	FBgn0031752	CG9044
FBgn0085215	FBgn0262954	FBgn0262954	Rpb12
FBgn0016984	FBgn0016984	FBgn0016984	sktl
FBgn0036918	FBgn0036918	FBgn0036918	Pfdn6
FBgn0030096	FBgn0030096	FBgn0030096	Zpr1
FBgn0031249	FBgn0031249	FBgn0031249	CG11911
FBgn0034902	FBgn0034902	FBgn0034902	CG5532
FBgn0034877	FBgn0034877	FBgn0034877	levy
FBgn0053169	FBgn0053169	FBgn0053169	CG33169
FBgn0037610	FBgn0037610	FBgn0037610	CG8043
FBgn0037685	FBgn0037685	FBgn0037685	Or85f
FBgn0034720	FBgn0034720	FBgn0034720	Liprin-gamma
FBgn0040575	FBgn0040575	FBgn0040575	CG15922
FBgn0036928	FBgn0036928	FBgn0036928	Tom20
FBgn0052736	FBgn0052736	FBgn0052736	CG32736
FBgn0026430	FBgn0026430	FBgn0026430	Grip84
FBgn0034022	FBgn0034022	FBgn0034022	CG12964
FBgn0085275	FBgn0263606	FBgn0263606	Hsc20
FBgn0038545	FBgn0038545	FBgn0038545	pasi1
FBgn0053107	FBgn0053107	FBgn0053107	CG33107
FBgn0030765	FBgn0261791	FBgn0261791	SNRPG
FBgn0022027	FBgn0022027	FBgn0022027	Vps25
FBgn0051800	FBgn0051800	FBgn0051800	CG31800
FBgn0033117	FBgn0033117	FBgn0033117	CG3358
FBgn0040718	FBgn0040718	FBgn0040718	CG15353
FBgn0015393	FBgn0286786	FBgn0286786	hoip
FBgn0047178	FBgn0047178	FBgn0047178	CG32147
FBgn0052640	FBgn0052640	FBgn0052640	CG32640
FBgn0036249	FBgn0036249	FBgn0036249	CG11560
FBgn0033907	FBgn0033907	FBgn0033907	mRpS16
FBgn0034001	FBgn0034001	FBgn0034001	mRpL41
FBgn0031600	FBgn0031600	FBgn0031600	CG3652
FBgn0043364	FBgn0043364	FBgn0043364	cbt
FBgn0040253	FBgn0040253	FBgn0040253	Ugt35E1
FBgn0039735	FBgn0039735	FBgn0039735	Nph
FBgn0004583	FBgn0004583	FBgn0004583	ex
FBgn0032229	FBgn0032229	FBgn0032229	ClpP
FBgn0043904	FBgn0262475	FBgn0262475	bru2
FBgn0004896	FBgn0004896	FBgn0004896	fd59A
FBgn0035248	FBgn0035248	FBgn0035248	CG13919
FBgn0035107	FBgn0035107	FBgn0035107	mri
FBgn0010300	FBgn0010300	FBgn0010300	brat
FBgn0037970	FBgn0037970	FBgn0037970	GC2
FBgn0052241	FBgn0052241	FBgn0052241	CG32241
FBgn0023167	FBgn0023167	FBgn0023167	SmD3
FBgn0032042	FBgn0032042	FBgn0032042	CG13398
FBgn0002031	FBgn0002031	FBgn0002031	l(2)37Cc
FBgn0037661	FBgn0037661	FBgn0037661	Ada
FBgn0027620	FBgn0027620	FBgn0027620	Acf
FBgn0011829	FBgn0011829	FBgn0011829	Ret
FBgn0029801	FBgn0029801	FBgn0029801	CG15771
FBgn0033480	FBgn0033480	FBgn0033480	mRpL42
FBgn0058002	FBgn0058002	FBgn0058002	ND-AGGG
FBgn0037305	FBgn0037305	FBgn0037305	CG12173
FBgn0035043	FBgn0035043	FBgn0035043	CG4781
FBgn0029927	FBgn0261284	FBgn0261284	bou
FBgn0030272	FBgn0030272	FBgn0030272	CG15201
FBgn0030961	FBgn0030961	FBgn0030961	CG7058
FBgn0030675	FBgn0030675	FBgn0030675	CG8191
FBgn0037312	FBgn0037312	FBgn0037312	CG11999
FBgn0036684	FBgn0036684	FBgn0036684	CG3764
FBgn0038808	FBgn0038808	FBgn0038808	Srp14
FBgn0043455	FBgn0043455	FBgn0043455	CG5986
FBgn0032348	FBgn0032348	FBgn0032348	CG4751
FBgn0039158	FBgn0039158	FBgn0039158	TBC1d7
FBgn0053506	FBgn0053506	FBgn0053506	CG33506
FBgn0026313	FBgn0026313	FBgn0026313	X11L
FBgn0026566	FBgn0026566	FBgn0026566	CG1307
FBgn0035802	FBgn0035802	FBgn0035802	Pura
FBgn0037429	FBgn0037429	FBgn0037429	Osi19
FBgn0050423	FBgn0050423	FBgn0050423	CG30423
FBgn0039145	FBgn0039145	FBgn0039145	CG6000
FBgn0011455	FBgn0011455	FBgn0011455	ND-SGDH
FBgn0032871	FBgn0032871	FBgn0032871	CG2611
FBgn0051536	FBgn0265082	FBgn0265082	Cdep
FBgn0010803	FBgn0010803	FBgn0010803	TrpRS
FBgn0036335	FBgn0036335	FBgn0036335	mRpL20
FBgn0004879	FBgn0261261	FBgn0261261	plx
FBgn0032633	FBgn0032633	FBgn0032633	Lrch
FBgn0051352	FBgn0051352	FBgn0051352	Unc-115a
FBgn0052039	FBgn0052039	FBgn0052039	CG32039
FBgn0031060	FBgn0031060	FBgn0031060	CG14231
FBgn0037516	FBgn0037516	FBgn0037516	CG11286
FBgn0085567	FBgn0085567	FBgn0085567	CG41239
FBgn0038133	FBgn0038133	FBgn0038133	Osi22
FBgn0025186	FBgn0025186	FBgn0025186	ari-2
FBgn0031495	FBgn0031495	FBgn0031495	GABPI
FBgn0051938	FBgn0260648	FBgn0260648	Rrp40
FBgn0028433	FBgn0267252	FBgn0267252	Ggamma30A
FBgn0038196	FBgn0038196	FBgn0038196	CG9922
FBgn0015295	FBgn0015295	FBgn0015295	Shark
FBgn0032421	FBgn0032421	FBgn0032421	crok
FBgn0035594	FBgn0035594	FBgn0035594	CG4597
FBgn0038153	FBgn0038153	FBgn0038153	Ir87a
FBgn0003462	FBgn0003462	FBgn0003462	Sod1
FBgn0035083	FBgn0035083	FBgn0035083	Tina-1
FBgn0086768	FBgn0086768	FBgn0086768	Pcmt
FBgn0040208	FBgn0040208	FBgn0040208	Kat60
FBgn0037011	FBgn0037011	FBgn0037011	CG4858
FBgn0030293	FBgn0030293	FBgn0030293	CG1737
FBgn0040467	FBgn0040467	FBgn0040467	Dlip1
FBgn0037443	FBgn0037443	FBgn0037443	Dmtn
FBgn0035854	FBgn0035854	FBgn0035854	CG8005
FBgn0010622	FBgn0010622	FBgn0010622	DCTN3-p24
FBgn0030780	FBgn0030780	FBgn0030780	CG13008
FBgn0033808	FBgn0033808	FBgn0033808	CG4627
FBgn0036998	FBgn0036998	FBgn0036998	CG5969
FBgn0039869	FBgn0039869	FBgn0039869	CG1890
FBgn0031357	FBgn0031357	FBgn0031357	mRpL48
FBgn0036643	FBgn0036643	FBgn0036643	Syx8
FBgn0033032	FBgn0033032	FBgn0033032	kune
FBgn0032033	FBgn0032033	FBgn0032033	CG13392
FBgn0037550	FBgn0037550	FBgn0037550	CG9667
FBgn0004432	FBgn0004432	FBgn0004432	Cyp1
FBgn0029714	FBgn0029714	FBgn0029714	CG3527
FBgn0033614	FBgn0033614	FBgn0033614	Obp47b
FBgn0037735	FBgn0262477	FBgn0262477	FoxP
FBgn0033867	FBgn0033867	FBgn0033867	Cpr50Ca
FBgn0022768	FBgn0022768	FBgn0022768	Pp2C1
FBgn0028434	FBgn0028434	FBgn0028434	Ercc1
FBgn0052365	FBgn0052365	FBgn0052365	CG32365
FBgn0040650	FBgn0040650	FBgn0040650	CG15456
FBgn0051460	FBgn0051460	FBgn0051460	CG31460
FBgn0038830	FBgn0038830	FBgn0038830	CG17272
FBgn0031774	FBgn0031774	FBgn0031774	CG9147
FBgn0051477	FBgn0051477	FBgn0051477	ATPsynepsilonL
FBgn0040907	FBgn0040907	FBgn0040907	mRpL33
FBgn0026061	FBgn0026061	FBgn0026061	Mipp1
FBgn0040751	FBgn0040751	FBgn0040751	CG13018
